"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","오병준(7)","1.000","1","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","0","2.000","0.00","0.000"
"2","이준민(2)","0.667","2","6","3","4","2","1","1","0","0","3","0","2","0","0","0","2","0","1","0","0","1.000","0.833","1.000","1","1.833","0.00","0.500"
"2","김영우(3)","0.667","3","3","3","1","2","2","0","0","0","2","2","1","0","0","0","0","0","0","1","0","0.667","0.667","1.000","0","1.334","0.00","0.000"
"3","김응진(33)","0.583","5","12","12","5","7","4","3","0","0","10","4","5","0","0","0","0","0","0","3","0","0.833","0.583","1.000","3","1.416","0.00","0.429"
"4","고은석(18)","0.500","4","10","6","5","3","3","0","0","0","3","2","3","0","0","0","4","0","0","0","0","0.500","0.700","1.000","0","1.200","0.00","0.000"
"4","박인우(1)","0.500","1","2","2","0","1","1","0","0","0","1","2","1","0","0","0","0","0","0","1","0","0.500","0.500","1.000","0","1.000","0.00","0.000"
"5","정재환(35)","0.444","5","11","9","4","4","3","1","0","0","5","1","2","0","0","0","0","0","2","4","0","0.556","0.545","1.000","1","1.101","0.00","0.250"
"6","강찬(36)","0.429","4","10","7","4","3","2","1","0","0","4","2","3","0","0","0","3","0","0","2","0","0.571","0.600","1.000","1","1.171","1.50","0.333"
"7","조윤수(47)","0.400","2","5","5","2","2","2","0","0","0","2","2","1","0","0","0","0","0","0","1","0","0.400","0.400","1.000","0","0.800","0.00","0.000"
"8","배요한(12)","0.364","7","18","11","4","4","2","2","0","0","6","7","8","0","0","1","6","0","0","3","0","0.545","0.556","1.000","0","1.101","2.00","0.500"
"9","이동환(99)","0.333","3","3","3","0","1","1","0","0","0","1","0","2","0","0","0","0","0","0","0","0","0.333","0.333","1.000","0","0.666","0.00","0.000"
"10","방제민(11)","0.250","6","15","8","9","2","2","0","0","0","2","1","6","0","0","0","4","0","3","2","0","0.250","0.600","1.000","0","0.850","2.00","0.000"
"11","김인수(90)","0.222","4","11","9","2","2","1","1","0","0","3","3","3","0","0","0","1","0","1","3","0","0.333","0.364","1.000","1","0.697","0.33","0.500"
"12","장지웅(17)","0.200","5","6","5","1","1","0","1","0","0","2","0","1","0","0","0","1","0","0","0","0","0.400","0.333","1.000","0","0.733","0.00","1.000"
"12","정혜준(4)","0.200","3","5","5","0","1","1","0","0","0","1","0","0","0","0","0","0","0","0","3","0","0.200","0.200","0.000","0","0.400","0.00","0.000"
"13","김태훈(10)","0.167","4","9","6","2","1","1","0","0","0","1","0","1","0","0","0","3","0","0","2","0","0.167","0.444","1.000","0","0.611","1.50","0.000"
"14","김동훈(14)","0.125","5","10","8","1","1","0","0","1","0","3","0","0","0","0","0","2","0","0","6","0","0.375","0.300","0.000","0","0.675","0.33","1.000"
"15","한지성(51)","0.111","6","12","9","3","1","1","0","0","0","1","2","1","0","0","1","2","0","0","7","0","0.111","0.250","1.000","0","0.361","0.29","0.000"
"16","신승현(58)","0.000","2","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.000","0.000","0.000","0","0.000","0.00","0"
"16","길화종(9)","0.000","5","5","5","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0.000","0.000","0.000","0","0.000","0.00","0"
"16","김동호(15)","0.000","4","5","4","1","0","0","0","0","0","0","1","0","0","0","0","1","0","0","1","0","0.000","0.200","0.000","0","0.200","1.00","0"
"16","김민재(25)","0.000","1","3","2","0","0","0","0","0","0","0","1","1","0","0","0","1","0","0","0","0","0.000","0.333","1.000","0","0.333","0.00","0"
"16","여병욱(38)","0.000","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.000","0.000","0.000","0","0.000","0.00","0"
"16","이병희(21)","0.000","2","2","2","1","0","0","0","0","0","0","0","1","0","0","0","0","0","0","2","0","0.000","0.000","1.000","0","0.000","0.00","0"
"16","박정택(20)","0.000","3","3","3","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0.000","0.000","0.000","0","0.000","0.00","0"
"16","강대규(55)","0.000","4","4","4","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0.000","0.000","0.000","0","0.000","0.00","0"
