"순위","이름","타율","게임수","타석","타수","득점","총안타","1루타","2루타","3루타","홈런","루타","타점","도루","도실 (도루자)","희타","희비","볼넷","고의 4구","사구","삼진","병살","장타율","출루율","도루 성공률","멀티 히트","OPS","BB/K","장타/안타"
"1","오병준(7)","1.000","1","1","1","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","1.000","1.000","1.000","0","2.000","0.00","0.000"
"2","이준민(2)","0.667","2","6","3","4","2","1","1","0","0","3","0","2","0","0","0","2","0","1","0","0","1.000","0.833","1.000","1","1.833","0.00","0.500"
"3","김응진(33)","0.600","8","20","20","8","12","8","4","0","0","16","6","7","0","0","0","0","0","0","5","0","0.800","0.600","1.000","5","1.400","0.00","0.333"
"4","박인우(1)","0.500","2","2","2","0","1","1","0","0","0","1","2","1","0","0","0","0","0","0","1","0","0.500","0.500","1.000","0","1.000","0.00","0.000"
"4","김서진(6)","0.500","2","5","4","0","2","2","0","0","0","2","3","3","0","0","1","0","0","0","1","0","0.500","0.400","1.000","1","0.900","0.00","0.000"
"5","고은석(18)","0.438","9","24","16","10","7","4","1","1","1","13","9","6","0","0","0","8","0","0","2","0","0.813","0.625","1.000","1","1.438","4.00","0.429"
"6","정재환(35)","0.435","12","29","23","7","10","5","3","2","0","17","5","6","0","0","0","3","0","3","8","0","0.739","0.552","1.000","2","1.291","0.38","0.500"
"7","강찬(36)","0.353","8","21","17","7","6","5","1","0","0","7","6","6","0","0","0","4","0","0","4","0","0.412","0.476","1.000","1","0.888","1.00","0.167"
"8","방제민(11)","0.333","10","24","12","13","4","4","0","0","0","4","3","8","0","0","0","8","0","4","2","0","0.333","0.667","1.000","0","1.000","4.00","0.000"
"8","조윤수(47)","0.333","3","6","6","2","2","2","0","0","0","2","3","1","0","0","0","0","0","0","1","0","0.333","0.333","1.000","0","0.666","0.00","0.000"
"8","여병욱(38)","0.333","3","6","6","1","2","1","0","1","0","4","1","1","0","0","0","0","0","0","4","0","0.667","0.333","1.000","0","1.000","0.00","0.500"
"9","배요한(12)","0.300","14","36","20","11","6","3","3","0","0","9","11","13","0","0","1","14","0","1","4","0","0.450","0.583","1.000","0","1.033","3.50","0.500"
"10","이동환(99)","0.286","7","11","7","4","2","2","0","0","0","2","0","4","0","0","0","2","0","2","1","0","0.286","0.545","1.000","0","0.831","2.00","0.000"
"11","김영우(3)","0.231","9","13","13","2","3","3","0","0","0","3","3","3","0","0","0","0","0","0","4","0","0.231","0.231","1.000","0","0.462","0.00","0.000"
"12","김인수(90)","0.211","10","23","19","5","4","3","1","0","0","5","7","9","0","0","1","2","0","1","5","0","0.263","0.304","1.000","1","0.567","0.40","0.250"
"12","김태훈(10)","0.211","12","24","19","4","4","4","0","0","0","4","1","3","0","0","0","5","0","0","8","0","0.211","0.375","1.000","0","0.586","0.63","0.000"
"13","정혜준(4)","0.182","6","11","11","2","2","2","0","0","0","2","0","0","0","0","0","0","0","0","6","0","0.182","0.182","0.000","0","0.364","0.00","0.000"
"14","장지웅(17)","0.176","12","23","17","5","3","2","1","0","0","4","1","5","0","0","1","4","0","1","3","0","0.235","0.348","1.000","0","0.583","1.33","0.333"
"15","박정택(20)","0.167","6","7","6","0","1","0","1","0","0","2","1","0","0","0","0","0","0","1","3","0","0.333","0.286","0.000","0","0.619","0.00","1.000"
"16","한지성(51)","0.160","14","30","25","6","4","3","1","0","0","5","5","5","0","0","1","3","0","1","13","0","0.200","0.267","1.000","0","0.467","0.23","0.250"
"17","김동훈(14)","0.158","12","23","19","5","3","2","0","1","0","5","1","8","0","0","0","4","0","0","9","0","0.263","0.304","1.000","1","0.567","0.44","0.333"
"18","김동호(15)","0.143","7","8","7","1","1","1","0","0","0","1","2","0","0","0","0","1","0","0","2","0","0.143","0.250","0.000","0","0.393","0.50","0.000"
"18","박태현(27)","0.143","3","7","7","1","1","1","0","0","0","1","0","1","0","0","0","0","0","0","1","0","0.143","0.143","1.000","0","0.286","0.00","0.000"
"19","강대규(55)","0.125","9","10","8","2","1","1","0","0","0","1","2","0","0","0","0","1","0","1","4","0","0.125","0.300","0.000","0","0.425","0.25","0.000"
"20","신승현(58)","0.000","3","5","5","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0.000","0.000","0.000","0","0.000","0.00","0"
"20","길화종(9)","0.000","12","16","14","2","0","0","0","0","0","0","1","1","0","0","0","2","0","0","5","0","0.000","0.125","1.000","0","0.125","0.40","0"
"20","김민재(25)","0.000","4","8","5","0","0","0","0","0","0","0","2","1","0","0","1","2","0","0","0","0","0.000","0.250","1.000","0","0.250","0.00","0"
"20","이병희(21)","0.000","5","5","4","3","0","0","0","0","0","0","0","2","0","0","0","1","0","0","2","0","0.000","0.200","1.000","0","0.200","0.50","0"
